active_backlog,branch_issue_deadline,btech_ctc,btech_home,cgpa,company_name,exam_date,idd_imd_ctc,idd_imd_home,interview_date,mtech_ctc,mtech_home,phd_ctc,phd_home,ppt_date,profile,status,total_backlog,updated_at,willingness_deadline,x_percent,xii_percent,che,mec,bme,phe,phy,bce,ece,eee,min,cse,met,mst,civ,cer,mat,chy,btech,idd,mtech,phd
0.0,2017-07-10 13:00:00,"19,00,000","9,00,000",5.0,Smartprix,2017-08-27 00:00:00,"19,00,000","9,00,000",,,,,,,Software Developer,Willingness Sent,0.0,2017-08-31 17:44:00,2017-08-23 10:00:00,60.0,60.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
0.0,,Yet to Decide,,7.5,Bajaj Auto,,Yet to Decide,,,,,,,,,Willingness Sent,0.0,2017-08-31 17:41:00,2017-08-21 09:00:00,0.0,0.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
0.0,2017-07-20 23:00:00,,,7.0,APPLIED MATERIAL,2017-09-07 00:00:00,"11,36,085","9,52,728 (Before Tax and PF Employees Contribution)",,"11,36,085","9,52,728 (Before Tax and PF Employees Contribution)",,,2017-09-07 00:00:00,Application Engineer,Willingness Sent,0.0,2017-08-31 17:39:00,2017-08-30 10:00:00,70.0,70.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
0.0,2017-08-10 13:00:00,,,7.0,MediaTek,,,,,"9,00,000","7,80,000",,,,ASIC Hardware Engineer,Under Branch Issue,0.0,2017-08-31 15:29:00,,70.0,70.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0,2017-08-30 13:00:00,"6,00,000","5,52,000",6.0,Nagarro,,"6,00,000","5.52,000",,"6,00,000","5,52,000",,,,"Trainee, Technology",Under Branch Issue,0.0,2017-08-31 15:19:00,,0.0,0.0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0
0.0,2017-09-01 11:00:00,,,6.0,AXTRIA,,"7,80,000",,,,,,,,Technical Analyst/Business Analyst,Under Branch Issue,0.0,2017-08-31 15:06:00,,80.0,70.0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0
0.0,2017-08-30 12:00:00,"4,50,000",,6.0,BHARAT FORGE,,,,,,,,,,Graduate Engineer Trainee,Willingness Closed,0.0,2017-08-31 13:46:00,2017-09-01 09:00:00,0.0,0.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
0.0,2017-08-26 13:00:00,"11,00,000","10,00,000",0.0,Mobikwik,,"11,00,000","10,00,000",,"11,00,000","10,00,000",,,,Software Engineer,Under Branch Issue,0.0,2017-08-25 15:50:00,,0.0,0.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0
0.0,2017-08-11 17:00:00,"13,50,000","12,00,000",6.0,CITI CORP,,"13,50,000","12,00,000",,,,,,2017-08-12 00:00:00,,Under Branch Issue,0.0,2017-08-11 15:19:00,,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
0.0,2017-07-20 23:00:00,"11,00,000",,0.0,FIDELITY,,,,,,,,,2017-08-09 00:00:00,Executive Graduate Trainee,Under Branch Issue,0.0,2017-08-06 18:10:00,,0.0,0.0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0
